bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,BCA Marketplace Ltd | Commercial & Professional Services 1,BCA Marketplace Ltd,BCA Marketplace Ltd,,Commercial & Professional Services,,,7036706.543238017,6856278.170334478,5322637.0006543975,,102.63,6.3,,,0.0,False,,,USD,7800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,BCA Marketplace Ltd | Commercial & Professional Services 2,BCA Marketplace Ltd,BCA Marketplace Ltd,,Commercial & Professional Services,,,4781351.881943781,4510709.322588473,4240066.763233164,,112.77,6.3,,,0.0,False,,,USD,5300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,BDO USA PA | Commercial & Professional Services 1,BDO USA PA,BDO USA PA,,Commercial & Professional Services,,,24899115.460688367,24718687.08778483,24989329.647140138,,99.64,5.0,,,,False,,,USD,27600000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,BDO USA PA | Commercial & Professional Services 2,BDO USA PA,BDO USA PA,,Commercial & Professional Services,,,1262998.6103247723,1262998.6103247723,1262998.6103247723,,100.0,4.5,,,,False,,,USD,1400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Belk Inc | Consumer Discretionary Distribution & Retail,Belk Inc,Belk Inc,,Consumer Discretionary Distribution & Retail,,,18403694.03616097,18133051.47680566,18133051.47680566,,101.49,15.0,,,,False,,,USD,20400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,BGB Group LLC | Media & Entertainment 1,BGB Group LLC,BGB Group LLC,,Media & Entertainment,,,23365474.291008286,23365474.291008286,23365474.291008286,,100.0,5.3,,,,False,,,USD,25900000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,BGB Group LLC | Media & Entertainment 2,BGB Group LLC,BGB Group LLC,,Media & Entertainment,,,2886853.9664566224,2886853.9664566224,2886853.9664566224,,100.0,5.3,,,,False,,,USD,3200000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,BGB Group LLC | Media & Entertainment 3,BGB Group LLC,BGB Group LLC,,Media & Entertainment,,,4330280.949684934,4330280.949684934,4330280.949684934,,100.0,5.3,,,,False,,,USD,4800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Bonterra LLC | Software & Services 1,Bonterra LLC,Bonterra LLC,,Software & Services,,,118902297.74343213,120345724.72666045,120887009.84537107,,98.36,4.8,,,,False,,,USD,131800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Bonterra LLC | Software & Services 2,Bonterra LLC,Bonterra LLC,,Software & Services,,,4059638.3903296255,4149852.576781395,4149852.576781395,,97.83,4.8,,,,False,,,USD,4500000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Bonterra LLC | Software & Services 3,Bonterra LLC,Bonterra LLC,,Software & Services,,,11006130.747115873,11186559.120019412,11186559.120019412,,98.39,4.8,,,,False,,,USD,12200000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Cadence Education LLC | Consumer Services 1,Cadence Education LLC,Cadence Education LLC,,Consumer Services,,,12720200.289699493,12900628.662603032,12900628.662603032,,98.6,5.0,,,,False,,,USD,14100000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Cadence Education LLC | Consumer Services 2,Cadence Education LLC,Cadence Education LLC,,Consumer Services,,,7577991.661948634,7668205.848400404,7668205.848400404,,98.82,5.0,,,,False,,,USD,8400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,"Cambrex Corp | Pharmaceuticals, Biotechnology & Life Sciences 1",Cambrex Corp,Cambrex Corp,,"Pharmaceuticals, Biotechnology & Life Sciences",,,27966397.80004853,27605541.054241452,27695755.240693223,,100.98,4.5,,,0.0,False,,,USD,31000000.0
