bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"ITA Holdings Group, LLC | Secured Debt 2","ITA Holdings Group, LLC","ITA Holdings Group, LLC",Secured Debt,,,,5310000.0,5298000.0,5310000.0,,100.23,7.0,10.84,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"ITA Holdings Group, LLC | Secured Debt 3","ITA Holdings Group, LLC","ITA Holdings Group, LLC",Secured Debt,,,,0.0,0.0,0.0,,,7.0,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"ITA Holdings Group, LLC | Secured Debt 4","ITA Holdings Group, LLC","ITA Holdings Group, LLC",Secured Debt,,,,4935000.0,4602000.0,4935000.0,,107.24,7.0,10.84,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"ITA Holdings Group, LLC | Secured Debt 5","ITA Holdings Group, LLC","ITA Holdings Group, LLC",Secured Debt,,,,4935000.0,4602000.0,4935000.0,,107.24,7.0,10.84,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"ITA Holdings Group, LLC | Secured Debt 6","ITA Holdings Group, LLC","ITA Holdings Group, LLC",Secured Debt,,,,1770000.0,1766000.0,1770000.0,,100.23,7.0,10.84,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"ITA Holdings Group, LLC | Secured Debt 7","ITA Holdings Group, LLC","ITA Holdings Group, LLC",Secured Debt,,,,2360000.0,2360000.0,2360000.0,,100.0,7.0,10.84,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"ITA Holdings Group, LLC | Warrants","ITA Holdings Group, LLC","ITA Holdings Group, LLC",Warrant,,,,15230000.0,2091000.0,,193307.0,728.36,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Kennedy Fab HoldCo, LLC | Secured Debt 1","Kennedy Fab HoldCo, LLC","Kennedy Fab HoldCo, LLC",Secured Debt,,,,-5000.0,-5000.0,0.0,,100.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Kennedy Fab HoldCo, LLC | Secured Debt 2","Kennedy Fab HoldCo, LLC","Kennedy Fab HoldCo, LLC",Secured Debt,,,,29705000.0,29705000.0,30000000.0,,100.0,,13.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Kennedy Fab HoldCo, LLC | Secured Debt 3","Kennedy Fab HoldCo, LLC","Kennedy Fab HoldCo, LLC",Secured Debt,,,,19961000.0,19961000.0,20000000.0,,100.0,,9.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Kennedy Fab HoldCo, LLC | Preferred Equity","Kennedy Fab HoldCo, LLC","Kennedy Fab HoldCo, LLC",Preferred Equity,,,,11490000.0,11490000.0,,11490.0,100.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"KMS, LLC | Secured Debt 1","KMS, LLC","KMS, LLC",Secured Debt,,,,1303000.0,1267000.0,1303000.0,,102.84,5.5,9.2,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"KMS, LLC | Secured Debt 2","KMS, LLC","KMS, LLC",Secured Debt,,,,1173000.0,1151000.0,1173000.0,,101.91,,12.5,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"KMS, LLC | Secured Debt 3","KMS, LLC","KMS, LLC",Secured Debt,,,,1007000.0,1007000.0,1007000.0,,100.0,,12.5,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"KMS, LLC | Preferred Equity","KMS, LLC","KMS, LLC",Preferred Equity,,,,6270000.0,4890000.0,,9213.0,128.22,,,,,False,,,USD,
