bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Pluralsight, LLC, Application Software, First Lien Revolver","Pluralsight, LLC","Pluralsight, LLC",First Lien Revolver,Application Software,,,-40000.0,0.0,0.0,,,4.5,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Pluralsight, LLC, Application Software, Common Stock","Pluralsight, LLC","Pluralsight, LLC",Common Stock,Application Software,,,0.0,14364000.0,,4300526.0,0.0,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Poseidon Midco AB, Pharmaceuticals, First Lien Term Loan 1",Poseidon Midco AB,Poseidon Midco AB,First Lien Term Loan 1,Pharmaceuticals,,,14827000.0,14031000.0,12868000.0,,105.67,5.5,7.67,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Poseidon Midco AB, Pharmaceuticals, First Lien Term Loan 2",Poseidon Midco AB,Poseidon Midco AB,First Lien Term Loan 2,Pharmaceuticals,,,5887000.0,5961000.0,5200000.0,,98.76,5.0,6.85,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Poseidon Midco AB, Pharmaceuticals, First Lien Term Loan 3",Poseidon Midco AB,Poseidon Midco AB,First Lien Term Loan 3,Pharmaceuticals,,,5846000.0,5803000.0,5846000.0,,100.74,5.25,8.89,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PPW Aero Buyer, Inc., Aerospace & Defense, First Lien Term Loan 1","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien Term Loan 1,Aerospace & Defense,,,10622000.0,10351000.0,10622000.0,,102.62,5.0,8.7,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PPW Aero Buyer, Inc., Aerospace & Defense, First Lien Term Loan 2","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien Term Loan 2,Aerospace & Defense,,,13916000.0,13894000.0,13916000.0,,100.16,5.0,8.7,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PPW Aero Buyer, Inc., Aerospace & Defense, First Lien Term Loan 3","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien Term Loan 3,Aerospace & Defense,,,0.0,-3000.0,0.0,,-0.0,5.0,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PPW Aero Buyer, Inc., Aerospace & Defense, First Lien Term Loan 4","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien Term Loan 4,Aerospace & Defense,,,3915000.0,3876000.0,3915000.0,,101.01,5.0,8.7,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PPW Aero Buyer, Inc., Aerospace & Defense, First Lien Term Loan 5","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien Term Loan 5,Aerospace & Defense,,,3570000.0,3569000.0,3570000.0,,100.03,5.0,8.7,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PPW Aero Buyer, Inc., Aerospace & Defense, First Lien Term Loan 6","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien Term Loan 6,Aerospace & Defense,,,0.0,-4000.0,0.0,,-0.0,5.0,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PPW Aero Buyer, Inc., Aerospace & Defense, First Lien Revolver","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien Revolver,Aerospace & Defense,,,800000.0,769000.0,800000.0,,104.03,5.0,8.7,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Premium Parent, LLC, Health Care Services, First Lien Term Loan","Premium Parent, LLC","Premium Parent, LLC",First Lien Term Loan,Health Care Services,,,32523000.0,32499000.0,33129000.0,,100.07,6.5,10.18,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Premium Parent, LLC, Health Care Services, First Lien Revolver","Premium Parent, LLC","Premium Parent, LLC",First Lien Revolver,Health Care Services,,,1171000.0,1168000.0,1244000.0,,100.26,6.5,10.17,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PRGX Global, Inc., Data Processing & Outsourced Services, Common Stock","PRGX Global, Inc., Data Processing & Outsourced Services","PRGX Global, Inc., Data Processing & Outsourced Services",Common Equity,,,,245000.0,0.0,,100000.0,,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Profrac Holdings II, LLC, Industrial Machinery & Supplies & Components, First Lien Floating Rate Bond","Profrac Holdings II, LLC, Industrial Machinery & Supplies & Components","Profrac Holdings II, LLC, Industrial Machinery & Supplies & Components",First Lien,,,,21806000.0,21868000.0,22089000.0,,99.72,7.25,10.93,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Protein For Pets Opco, LLC, Packaged Foods & Meats, First Lien Term Loan","Protein For Pets Opco, LLC, Packaged Foods & Meats","Protein For Pets Opco, LLC, Packaged Foods & Meats",First Lien,,,,19590000.0,19694000.0,19969000.0,,99.47,5.25,8.92,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Protein For Pets Opco, LLC, Packaged Foods & Meats, First Lien Revolver","Protein For Pets Opco, LLC, Packaged Foods & Meats","Protein For Pets Opco, LLC, Packaged Foods & Meats",First Lien,,,,-40000.0,-29000.0,0.0,,137.93,5.25,,,,False,,,USD,
